REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Southern,24,Zabul,2406,Shahjoy,27-07-22,Flood / flash flood,0,0,25,232,19,6
Central Highland,22,Daykundi,2206,Shahrestan,28-07-22,Flood / flash flood,0,0,125,875,0,0
Southern,23,Uruzgan,2302,Chora,28-07-22,Flood / flash flood,0,0,28,247,28,0
South Eastern,11,Ghazni,1117,Malestan,29-07-22,Flood / flash flood,0,0,9,84,9,0
Central Highland,22,Daykundi,2209,Miramor,29-07-22,Flood / flash flood,0,0,307,2149,0,0
Southern,33,Kandahar,3302,Arghandab,29-07-22,Flood / flash flood,0,0,3,23,3,0
South Eastern,11,Ghazni,1116,Ajrestan,29-07-22,Flood / flash flood,0,0,2,19,2,0
South Eastern,11,Ghazni,1111,Giro,29-07-22,Flood / flash flood,0,1,133,948,132,1
South Eastern,11,Ghazni,1101,Ghazni,29-07-22,Flood / flash flood,0,0,8,49,8,0
South Eastern,11,Ghazni,1114,Muqur,29-07-22,Flood / flash flood,0,0,4,40,4,0
South Eastern,11,Ghazni,1110,Qarabagh,29-07-22,Flood / flash flood,10,3,54,421,51,3
South Eastern,11,Ghazni,1105,Andar,29-07-22,Flood / flash flood,0,0,1,8,1,0
South Eastern,11,Ghazni,1118,Gelan,29-07-22,Flood / flash flood,0,0,17,147,17,0
South Eastern,11,Ghazni,1106,Dehyak,29-07-22,Flood / flash flood,0,0,39,241,35,4
South Eastern,25,Paktika,2510,Urgun,29-07-22,Flood / flash flood,0,0,64,378,54,10
Eastern,13,Kunar,1308,Chawkay,30-07-22,Flood / flash flood,0,0,4,29,4,0
Southern,33,Kandahar,3311,Spinboldak,30-07-22,Flood / flash flood,4,3,505,4290,416,98
South Eastern,12,Paktya,1201,Gardez,01-08-22,Flood / flash flood,3,0,18,118,18,0
Capital,5,Logar,505,Charkh,02-08-22,Flood / flash flood,0,0,25,157,12,13
Eastern,6,Nangarhar,616,Goshta,04-08-22,Flood / flash flood,0,0,5,37,5,0
Southern,24,Zabul,2405,Shinkay,06-08-22,Flood / flash flood,0,0,14,105,14,0
Southern,24,Zabul,2411,Nawbahar,06-08-22,Flood / flash flood,0,0,25,158,25,0
Capital,4,Wardak,406,Chak,10-08-22,Flood / flash flood,0,0,55,253,38,17
Capital,4,Wardak,407,Saydabad,10-08-22,Flood / flash flood,1,0,13,61,9,4
South Eastern,25,Paktika,2501,Sharan,11-08-22,Flood / flash flood,0,0,18,126,18,0
Capital,4,Wardak,407,Saydabad,12-08-22,Flood / flash flood,0,0,122,910,86,36
South Eastern,26,Khost,2606,Tani,12-08-22,Flood / flash flood,0,0,21,179,20,1
Capital,5,Logar,503,Mohammadagha,12-08-22,Flood / flash flood,0,0,32,224,16,16
Capital,5,Logar,504,Barakibarak,12-08-22,Flood / flash flood,1,0,18,126,15,3
Capital,5,Logar,501,Pul-e-Alam,12-08-22,Flood / flash flood,0,0,68,431,33,35
South Eastern,26,Khost,2601,Khost (Matun),12-08-22,Flood / flash flood,0,4,148,1061,106,42
